xikin nan pvtaq ,abacus
Mwv twwxumbo twwky dvn,He used to drink beer 
Mwv naleqgo poorynum,He used to read a lot 
Mwv nam kaapa jaq nwwdo,He wanted to meet you 
Mwv iPad anyobo nvvnw do,He wants an iPad mini 
Hoq moodho mwv vnyw 19 kunum,He was 19 at the time 
Mwv rugby soonbo akv,He was a rugby player 
Mwv agam gooda jaq tanum,He was about to speak 
Mwv nyirab jaq tanum,He was about to start 
Mwam Afrikaho dwrbuqnum,He was born in Africa 
Mwv pui gab hwrcwnum,He was eager for news 
Mwv roolin xaaknum,He was excommunicated 
Mwam benyioq nyioqla maanum,He was hard to please 
Mwv ngoqg langk daq si,He was just behind me 
Mwam nyiqs lengdwb mvnum,He was moved to tears 
Mwv ngoqg ajin jibwngv,He was my best friend 
Mwv arro twq ngoqg ajinv,He was my only friend 
Mwv kvyaq goda lo yoqlwq tanum,He was nearly drowned 
Mwv vc loodab hentwrnv sooriq koonum,He was painfully thin 
Mwv kenlo tingtv ho vcnum,He was sick last week 
Mwv vc jaqb yubxurnum,He was snoring loudly 
Mwv mwnwn rogab lalal kaanum,He was staring at her 
Mwv biila-tabla maanum,He was unable to move 
Mwv haakin pacanum,He was very insistent 
Mwv Japanwb wkur nukun,He went back to Japan 
Mwv yornwb iknum,He went down the hill 
Mwv bank urab haanum,He went into the bank 
Mwv aaram mam haatayin,He will come tomorrow 
Mwv ham nywywngam mvnyiram,He will never make it 
Mwv tama soojongam naanum,He won a bronze medal 
Mwv rup soojongam naanum,He won a silver medal 
Mwv lokta xarnam mam xaryanum,He won the race again 
Mwv ngam tadyma,He won't listen to me 
Mwv kangam jaq dvb xeqdo,He writes beautifully 
Mwv ham nyebia jaqb xeqnum,He wrote it hurriedly 
Mwv ngoqg lvgab cumciqb dooi nvpv,He'll be safe with me 
Mwv ngoqg dumpongam pacnum,He'll rip my head off 
Mwv anyo go vpwb doonbo akv,He's a bit of a loner 
Mwv jvqtw jaqb nyega gaat loodangv,He's a real gentleman 
Mwv kooxnam nyiv,He's a strange person 
Mwv tvbam bosdvn,He's afraid of snakes 
Mwv haasam kvvnw maadwn,He's allergic to cats 
Mwv lwxiam jebs-japeql jobdo,He's always gossiping 
Mwv swnyiq-sa svlongam poorybo akv,He's an oceanographer 
Mwv kwm-kor mvk hoqgv aadonum,He's away on business 
Mwam almanbo gob dooxub lengnum,He's been blacklisted 
Mwv haakam gvi hoo lootw do,He's brave and honest 
Mwv rugaq-raqyaqbo looda hvb nyido,He's completely crazy 
Mwv ngoqg bwrm mam begaqnum,He's dating my sister 
Mwv soq sam otuq hookam nyinum,He's done this before 
Mwv sija aalwg dvnam ham dudu do,He's eating lunch now 
Mwv atv atam hemp-hvnyir mvsdo,He's enjoying himself 
Mwv nitbo abynam ak kaapanum,He's found a new love 
Mwv komcib gorab robdu do,He's getting up early 
Mwv ham mvdwb nyitayin,He's going to make it 
Mwv nam ko anyob mudu gvdo,He's just kidding you 
Mwwg kaanam ham mwv niim gvdo,He's losing his looks 
Mwv ngoqg vbw cociqkv,He's my older brother 
Mwv nywywngam vm mvvma dvn,He's never told a lie 
Mwv lwxiam hemp maadwn,He's not always happy 
Mwv ngulug dvpar so dooma dvn,He's not in our group 
Mwv ngoqg nyega ajin ma,He's not my boyfriend 
Mwv sija punho goodu do,He's now on the phone 
Mwwg dvtwr-danyia dapnam ham mwv daptado,He's on his last legs 
Mwam arro ngulv mwum do,He's our only suspect 
Mwv namho jompwb doonu do,He's relaxing at home 
Mwv ngoqg langk jaq si,He's right behind you 
Mwv ngam ator yaado,He's stronger than me 
Mwv Chainangam poory ridu do,He's studying Chinese 
Ognam mam soq so anyob xido,Heating is cheap here 
"Hallo, kwm-kor mvnam hv hoggub nyido","Hello, how's business?"
Ngam cengm dvb svka tvb,Help me to understand 
"Kvlv, no atam svka suto","Help yourself, please "
Mwnwg aalam xikanum,Her days are numbered 
Mwnwg swwgv vs-axaqho doodo,Her life is in danger 
Mwnwg mwonam si sig uung go,Her plan is dangerous 
Soq si meeg rwmwq twqb betam do,Here are some details 
Soq si mwnwg potoqkv,Here's a photo of her 
Soq ak si ngoqg abynamv,Here's the one I like 
Soq si ngoqg hogak nyidunamv,Here's what I'm doing 
"Saar, soq si noqg hiqd sanamv","Here's your bill, sir "
"Kv, Tomnvn hemo dvb jito","Hey, give Tom a break "
"Kv, soq ak si mwwnamv","Hey, here's a thought "
"Kv, no hoggub nyido?","Hey, how're you doing?"
"Kv, tapam mam kaato","Hey, look at the snow "
"Kv, Tom  Albo arr komc","Hi, Tom  Good morning!"
Mwwg gaaringv ceka dookma,His car has no wheels 
Mwwg bemin-beto nyinam hv koi loodanum,His concert was great 
Mwwg abv mwam Tom hvl goqdo,His dad calls him Tom 
Mwwg nammam puqta do,His house is for sale 
Mwwg nammam wm gunum,His house was on fire 
Mwwg mwwjv rugaqbo hvb nyido,His ideas sound crazy 
Mwwg swwcangv vs-axaqdo,His life is in danger 
Mwwg mwonam hv sig uung go,His plan is dangerous!
Mwwg gonhv jvqtw tapa do,His story sounds true 
Mwwg gonhv mwwbuql mvnamv,His story was made up 
"Kvlv, topaq maab dooya to","Hold the line, please "
Reketham rubrub yumgabto,Hold the racket tight 
Svpurv bossam suulaq dvn,Horses can sense fear 
Meeg koppi twwnyiloqkam hoggub nyido?,How about some coffee?
Bulv hoqham hoggub nyidunam?,How are they doing it?
Nunyi vnyiv hoggub nyido?,How are you two doing?
Noqg ko tukungv hoggub nyido?,How are your children?
Noqg namv hog hwdg koi dvn?,How big is your house?
Hoggub yu ngo nyet tvtayin?,How can I become rich?
Hoggub yu ngoTomnvn kaapa tayin?,How can I contact Tom?
Hoggub yu ngo sam mvdar tayin?,How can I make amends?
Hoggub yu ngulv hoqham siik hvla tayin?,How can we prove that?
Hoggub yu nulv Tomnvn mwwjw tayin?,How can you trust Tom?
Hoggub hoqhv nyin kun?,How could that happen?
Hoggub no ham nyila dvn?,How could you do that?
Hoggub no ham bela dvn?,How dare you say that!
Hwdgo urab pvlwq pa?,How deep are the cuts?
Hwdgo Biwa Swnyiqkv ura dvn?,How deep is Lake Biwa?
Hwdgo soq swnyiq si ura dvn?,How deep is this lake?
Hwdgo soq sokam si ura dvn?,How deep is this well?
Hoggub Tom hoqham cengnum?,How did Tom know that?
Hoggub Tom soq sam paxaqnum?,How did Tom miss this?
Hoggub mwn bulam betamnum?,How did she tell them?
Hoggub bulv meepanum?,How did they find out?
Hoggub no so haanum?,How did you come here?
Hoggub no hoq tulu ham naanum?,How did you get those?
Hoggub yaapa tulu nulv kaapa minsnum?,How did you guys meet?
Hoggub ngo pamdaho haab yu?,How do I get downtown?
Ngo suyum hoggub kaado?,How do I look tonight?
Hoggub no bon nyikho wdwn?,How do you go to work?
Hoggub ko hury tulungv ham nyidwn?,How do you kids do it?
Hoggub no bakos akam mvdwn?,How do you make a box?
hoggub no twngk paadwn?,How do you make money?
Hoggub no twngk mvdwn?,How do you make money?
Hoggub no svv gwwi hiqdwn?,How do you milk a cow?
Hoggub no hoq hvvk hvl bela tayin?,How do you prove that?
Hoggub sinimoa-ngv nyiyum kunum?,How does the film end?
Hog hwdg aadoho no yvdwn?,How far along are you?
Hog hwdg aadoho no wdu dvn?,How far are you going?
Hog hwdg ao go no juqla dvn?,How high can you jump?
Soq loonyi-loumso Tom hoggub nyido?,How is Tom these days?
Hwd oyu kokwngam no mvko tan?,How late are you open?
Hoqhv hwd vnyw otuqho?,How long ago was that?
Soq si hwd vnyw otuqho?,How long ago was this?
Hwd oyu go no doola yin do?,How long can you stay?
Hwd oyu go no doope kun?,How long did you stay?
Hwd oyu go soq si naayin do?,How long does it take?
Hwd oyu go Tom vcnum?,How long was Tom sick?
Hwd oyu go soq si naatayin?,How long will it take?
Hwd oyu go ngulv doog tayin?,How long will we have?
Hwd oyu go hoqhv oyu tayin?,How long'll that take?
Hwdgo mwv nvvnw do?,How many does he want?
Hwdgo ngo nam jisv doodo?,How much do I owe you?
Hwdgo soq si kor xidwn?,How much does it cost?
Hwdgo soq bool si?,How much is this ball?
Hwdgo soq lvqc si?,How much is this ring?
Hwdgo soq sofa si?,How much is this sofa?
Hwdgo ngo twrku yin do?,How much should I tip?
Hwdgo moodv doodku?,How much time is left?
Hwdgo soq sam kor xidwn?,How much will it cost?
Hwdgo noqg ko hury tulungv akam dukun?,How old are your kids?
Hwdgo oyu dukun soq dupum-dvrab si?,How old is this stuff?
Hwdgo noqg kwyv axa dukun?,How old is your uncle?
Hoq diyo ho no hwdgo akam kunam?,How old were you then?
Meet poyeqnamv hoggub nyipa?,How was the math test?
Svgagvrwqnamv hoggub nyinba?,How was the reception?
Noqg ko bwd aalv hoggub nyinba?,How was your birthday?
Tomnvn no hoggub svka tayin?,How will you help Tom?
Tom no hoggub nyidu do?,"How're you doing, Tom?"
Noqg nyixiaq tukba hvnam ham ngo loorwq dvn,I accept your apology 
Noqg haakamnam ham ngo al mwwpa do,I admire your bravery 
Noqg haakamnam ham ngo al mwwpa do,I admire your courage 
Ngo looba dvn hoqhv nyila maadwn,I agree it's not easy 
Noqg bepkob ngo looba dvn?,I agree to your terms 
Mwwg mwonam lvgab ngo looba dvn,I agree with his plan 
Ngo aldvb hengpa loxo paku,I already feel better 
Ngo mwxol apnam ak doodwn,I already have a plan 
Ngokam cingnw do,I also wanted to know 
Ngo lwxiam baas nootul wdwn,I always take the bus 
Ngo lwxiam iky ak nvvnw dvn,I always wanted a dog 
Ngo sija vnyw 30 go akam dukun,I am 30 years old now 
Ngo lootwbo nyi akv,I am an honest person 
Ngo oppisho bon nyinbo akv,I am an office worker 
Ngoqg vnyiqkam ngo nyiqyab-nyiqbio dvn,I am blinking my eyes 
Ngoqg dummam ngo raxaq xoqdu dvn,I am brushing my hair 
Ngo golf gab rugaq dvn,I am crazy about golf 
Ngo dupum-dvrab mudu dvn,I am doing the dishes 
Ngo vc hengpa do,I am feeling nauseous 
Ngo mwnwg ajin tulungv,I am friends with her 
Nam ngo svka dvb hemp do,I am glad to help you 
Ngo bulam vcjaqb paqdwn,I am grateful to them 
Ngo wtw am noodu dvn,I am harvesting wheat 
Ngo cwrwngam og gudu dvn,I am heating the room 
Ngo so kwm-kor mvtab doodwn,I am here on business 
Ngo kelass ura si doodwn,I am in the classroom 
Ngo Turkish cingdul doodwn,I am learning Turkish 
Ngo nyook bvywr si,I am near the station 
Mwwg gab ngo jubtaq ma,I am no match for him 
Ngo soolo hanyiram,I am not coming today 
Ngo iss jaanyi maadwn,I am poor at swimming 
Nam ngo otu yaadwn,I am shorter than you 
Ngo Tom lvgab goodu dvn,I am talking with Tom 
Ngo Inglis tomswr swrdu dvn,I am teaching English 
Ngoqg bon gab ngo ngaad kun,I am tired of my work 
Ngo poory dvb ngaad kun,I am tired of reading 
Ngo xardwb vc loodab ngaado,I am too tired to run 
Ngo twrkub hendar-hempar ma,I am totally confused 
Ngo sutiq pota taqg xiqdu dvn,I am writing a letter 
Vs-axaqkv haai nvp hvl ngo mwwky tvn,I anticipated trouble 
"Ngo toxnum, Tom hogloq ho doonum",I asked where Tom was 
Ngo mwwnamv no haaxaqdo,I assume you're angry 
Ngoqg ab-ann lvgab ngo dvknum,I ate with my parents 
Ngo mwwjwdo ngo nyixiaqnum,I believe I was wrong 
Ngo mwwjwdo Tom mvya yin pv,I believe Tom can win 
Ngo swrdorxeqho mwwjw dvn,I believe in miracles 
Ngo mwwjwdo hoqhv biyw-bec namgo,I believe it's a myth 
Ngo aidvn no French cengdo,I bet you know French 
Ngo diksonari taqg rvnum,I bought a dictionary 
Ngo nitbo murx tubnan ak rvnum,I bought a few stamps 
Ngo vrs pvtaq taqg rvnum,I bought a glass vase 
Ngo kucuqbo tvrak torg rvnum,I bought a used truck 
Ngo ham moyo rvnum,I bought it yesterday 
Ngo Skiing nyilayil ngoqg lvpiangam mwtwrnum,I broke my leg skiing 
Ngo lwxiam mwnwn goqdwn,I call her very often 
Ngo dugubl nammwb haaknum,I came back home late 
Tom gab ngo haanum,I came because of Tom 
Ngo moyu so haaknum,I came here yesterday 
Ngo alwb wnka hvtab so haanum,I came to say goodbye 
Ngo anyo koog daqla twqdwn,I can barely stand up 
Ngo kajin hookur kurla tayin,I can come back later 
Ngo atv ham nyila tai nvyv!,I can do it by myself!
Ngo atv ham nyila tayin,I can do it by myself 
Ngo ham tingtv uraho nyila tayin,I can do it in a week 
Ngo gwwn-nyiqry nyinam tulu ham nyila dvn,I can do magic tricks 
Soq si dooma jaqkam ngo nyila tayin,I can do without this 
Ngo ham Tomwg hoqgv naala tayin,I can get it from Tom 
Ngo tama-tayl nam tapa twqdo,I can hardly hear you 
Ngo hoqho anyo jaqg daqla twqdwn,I can hardly stand it 
Ngo pupum mam ciqko ladwn,I can open the window 
Ngo nam soq siik hvl bela dvn,I can prove it to you 
Ngo swniq-saa svlongam suulaqdvn,I can smell the ocean 
Ngo hoqham hvvky swwla dvn,I can testify to that 
Ngo mvyanum hvl ngo atv mwwjw ma,I can't believe I won 
Ngo aaram mam hanyiram,I can't come tomorrow 
Noqg lvgab ngo hanyiram,I can't come with you 
Ngo ham nyinyi kuram,I can't do it anymore 
Ngo sam vpwb nyinyiram,I can't do this alone 
Ngo opo twwnyiram,I can't drink alcohol 
ngo mitai dvnyiram,I can't eat chocolate 
Ngo cokolet dvnyiram,I can't eat chocolate 
Ngo appel dvnyiram,I can't eat the apple 
Ngoq luxuqkam ngo kaapa kuma,I can't find my shoes 
Ngoqg gooringam ngo kaapa kuma,I can't find my watch 
Ngo soq sam mvko nyoma,I can't get this open 
Ngo ham nam jinyiram,I can't give you that 
Ngo nyebiab wnyi kuma,I can't go any faster 
Ngo nam wleq mvram,I can't let you leave 
Ngo ham vpwb mvnyiram,I can't make it alone 
Ngo vyap pam ciqko nyoma,I can't open the door 
Ngo soq pvtaq sam mvko nyoma,I can't open this jar 
"Tom, ngo soolo soonyiram",I can't pay Tom today 
Ngo nyebiab xarnyiram,I can't run very fast 
Ngo ham nam puqnyiram,I can't sell you that 
Ngo soq sam nam kaakin nyoram,I can't show you this 
Ngo haakam maab danyi ma,I can't stand cowards 
Ngo daqtwl vkar paqnyi maado,I can't stand fishing 
Ngo oyu go doonyi maado,I can't stay for long 
Noqgab ngo dvco nyoram,I can't steal for you 
Ngo vswq swqngin nyoma,I can't stop coughing 
Ngo nyirtup-nyirc dooma,I can't stop laughing 
Ngo kej jitup-jic dooma,I can't stop sneezing 
Ngo namho poory nyoma,I can't study at home 
Ngo ogam hengnyi ma,I can't take the heat 
Ngo nyem koam agam goonyi ma,I can't talk to girls 
Ngo nyem dvnam agam goonyi ma,I can't talk to women 
Ngo ham Tomnvn betam nyoram,I can't tell Tom that 
Ngo hwdgo kaaya yaanyi kuram,I can't wait any more 
Ngo Tom lvgab bon nyinyiram,I can't work with Tom 
Ngo Jarman goolaq ma,I cannot speak German 
Ngo vtwr-anya baasam nootunum,I caught the last bus 
Ngo bulam moopup pupdu dvb nootunum,I caught them kissing 
Ngo Tomwg laqxam hubkanum,I checked Tom's pulse 
Ngo svv nvvg kwrtabnum,I chopped a tree down 
Ngo Australia hoqgv haayin,I come from Australia 
Ngo so aal looxiam haadwn,I come here every day 
Ngo ham nyidwb nyika tayin,I could give it a try 
Ngo nam svka kala yinsnum,I could've helped you 
Ngo loomin gwnw kuma,I couldn't agree more 
Ngo nam vmv mvvnyi ma,I couldn't lie to you 
Ngo sookuml soomin koam wpeqnum,I cut across the park 
Ngo soolo loopw hog gokam nyima,I did nothing all day 
Ngo hog nyimur akam nyima,I did nothing illegal 
Ngo nyebiab mvnam meet meeg mvnum,I did some quick math 
Ngo hoqham pagoq gab nyinum,I did that on purpose 
Ngo ham ho dara nyinum,I did that right away 
Ngo kvtaqb nyinum,I did the right thing 
Ngam hoggv betamnum ham ngo nyinum,I did what I was told 
Jvqtwb bebnyiloqkam ngo xamanum,I didn't actually cry 
Ngo svka gab komanum,I didn't ask for help 
Ngo bulam mwwjw maanum,I didn't believe them 
Ngo hog gokam rvk maanum,I didn't buy anything 
Ngo hoq gaari ham rvk maanum,I didn't buy that car 
Ngo kitap ham rvk maanum,I didn't buy the book 
Ngo hog gokam dvmanum,I didn't eat anything 
Ngo aby maanum,I didn't fall in love 
Ngo ikiam hoomanum,I didn't feed the dog 
Mwwg mwnyir benam ham tvbwq yoomanum,I didn't get his joke 
Ngo hoqham nootu maanum,I didn't get it right 
Ngo mwnyirnam ham nootu maanum,I didn't get the joke 
Ngo iskul wwmanum,I didn't go to school 
Ngo hiyam kam mengmanum,I didn't kill anybody 
Ngo hoqham meeg al mwwpa maanum,I didn't like it much 
Ngo kiir noodwm tvs mwwmanum,I didn't mean to yell 
Ngo ham tolo vlwq kumanum,I didn't put it there 
Ngo hog gokam agam goomanum,I didn't say anything 
Ngo hog gokam kaapa maanum,I didn't see anything 
Ngo hiyv nvkam abj maanum,I didn't shoot anyone 
Ngo nyiqyab-nyiqbioq hwyw gokam yumanum,I didn't sleep a wink 
Ngo xumt dvb yumanum,I didn't sleep enough 
Ngo Tomnvn pwswr jimanum,I didn't strangle Tom 
Ngo vcwr gokam poory manum,I didn't study at all 
Ngo dvs mwnw maanum,I didn't want to cook 
Ngoqg dummam ngo hwrxaq maanum,I didn't wash my hair 
Ngo vpwb doodwb mwwr dvn,I dislike being alone 
Ngo kam hengnamv meeg aldo,I do feel pretty good 
Ngo mwam hoocum-haapy maadwn,I do not care for him 
Ngo komcib gorab maadwn,I do not get up early 
Ngo science sam al mwwpa maadwn,I do not like science 
Ngo bon nyinw ma,I do not want to work 
Ngo ham loomin gvma,I don't approve of it 
Ngo pwpam hoocum maadwn,I don't care for eggs 
Ngo ham nyik maadwn,I don't do it anymore 
Ngo opo twwma dvn,I don't drink alcohol 
Ngo wtw dvma dvn,I don't eat any bread 
Ngo hwdgo dvma dvn,I don't eat that much 
Ngo ham hwdgo hengpa ma,I don't feel up to it 
Ngam vigo jima dvn,I don't get paid much 
Ngo ko huriam oyu maadwn,I don't hate children!
Ngo dooxub sv ak dooma,I don't have a choice 
Ngo imiq dvpar dooma dvn,I don't have a family 
Ngo boolu dooma,I don't have a garden 
Ngo pensil dooma,I don't have a pencil 
Ngo any-bwrm dooma,I don't have a sister 
Ngo hog nyicw ak dooma dvn,I don't have a system 
Ngo tiket dooma,I don't have a ticket 
Ngo mwws pagoq dooma,I don't have an alibi 
Ngo twngk kabor dooma,I don't have any cash 
Ngo hog ceego dooma dvn,I don't have any debt 
Ngo pen dooma,I don't have any pens 
Ngo hog akam dooma,I don't have anything 
Ngo sija mood dooma,I don't have time now 
Ngo hog akam tapa ma,I don't hear anything 
Ngo hog akam cengma,I don't know anything 
Ngo ham hingc yooma,I don't know for sure 
Ngo mwwg eminam cengma,I don't know his name 
Hog hwd oyu go ngo cengma,I don't know how long 
Ngo hoqham hvraqb cengma ta,I don't know that yet 
Yaapa tulu ngo nulam cengma,I don't know you guys 
Ngo hog akam al mwwpa ma,I don't like anything 
Iky koi boam ngo oyum dvn,I don't like big dogs 
Barkoli ham ngo oyum dvn,I don't like broccoli 
Ngo hog gokam twwnw ma,I don't like drinking 
Albv wnku hvnam mam ngo oyum dvn,I don't like goodbyes 
Mwnwg nyuqm mam ngo oyum dvn,I don't like her face 
Mwwg hvb nyinbo luu-ngam ngo oyum dvn,I don't like his type 
Namho bon nyim dvb jiyikam ngo al mwwpa ma,I don't like homework 
Politiks sam ngo oyum dvn,I don't like politics 
Ngo poory rinw maadwn,I don't like studying 
Ngo iss jaadwb mwwram dvn,I don't like swimming 
Ngo hoq ak ham oyum dvn,I don't like that one 
Kanam ngo oyum dvn,I don't like the dark 
Oggam ngo oyum dvn,I don't like the heat 
Ngo soq bopya sam oyum dvn,I don't like this hat 
Ngo soq ak sam oyum dvn,I don't like this one 
Ngo mvxaq dvb mwwram do,I don't like to clean 
Ngo gaari xardwb mwwram do,I don't like to drive 
Mwwsam namham ngo oyum dvn,I don't like to guess 
Ngo nyirsam mwwram do,I don't like to laugh 
"Tom, nam ngo al mwwpa ma","I don't like you, Tom "
Noqg abbam ngo oyum dvn,I don't like your dad 
Noqg iky ham ngo oyum dvn,I don't like your dog 
Noqg bopya ham ngo koojub ma,I don't like your hat 
Ngo Tomwg lvgab dooma dvn,I don't live with Tom 
Ngo ham nyidwb haaxaqram,I don't mind doing it 
Ngo daqdwb haaxaqram,I don't mind standing 
Ngo oggam mwwr maadwn,I don't mind the heat 
Ngo doktor nvvnw ma,I don't need a doctor 
Ngo mwwnam ak mwwnw ma,I don't need a reason 
Ngo bilwql tomswrbo nvvnw ma,I don't need advisers 
Ngam svka nvvnw ma,I don't need any help 
Ngo hog akam nvvnw ma,I don't need anything 
Ngo oboe soonw ma,I don't play the oboe 
Ngo Tomwg gaaringam kaapa ma,I don't see Tom's car 
Ngo vs-axaq kaapa ma,I don't see a problem 
Ngoqg lvpiangam ngo pvriq ma,I don't shave my legs 
Ngo yuma dukun,I don't sleep anymore 
Ngo vigo yuma dukun,I don't sleep so much 
Ngo Katalan agam gooma dvn,I don't speak Catalan 
Ngo Chaina agam gooma dvn,I don't speak Chinese 
Ngo Inglis agam gooma dvn,I don't speak English 
Ngo Ispenis agam gooma dvn,I don't speak Spanish 
Ngo Sudis agam gooma dvn,I don't speak Swedish 
Ngo mwwma ngo hubxur dvn,I don't think I snore 
Ngo ham cengma,I don't understand it 
Ngo wkur nwkma,I don't wanna go back 
Ngo Tomnvn so doom nwwma,I don't want Tom here 
Ngo kopaq nvvnw ma,I don't want a banana 
Ngo appel nvvnw ma,I don't want an apple 
Ngo hog akam nvvnw ma,I don't want any more 
Ngam aya mwwpa maabv,I don't want sympathy 
Ngo hoq ak ham nvvnw ma,I don't want that one 
Ngo lvqc nvvnw ma,I don't want the ring 
Ngo nosso soonw ma,I don't want to dance 
Ngo ham nyinw ma,I don't want to do it 
Ngo gaari xarnw ma,I don't want to drive 
Ngo horpin-hora nwwma,I don't want to share 
Ngo yubnw ma,I don't want to sleep 
Ngo poory rinw ma,I don't want to study 
Ngo so nam doom nwwma,I don't want you here 
Ngo vigo TV kaama dvn,I don't watch much TV 
Ngo sutiq pota xeqma dvn,I don't write letters 
Ngo mwum do Tom haakam yin pv,I doubt Tom will come 
Ngo moyo saa twwnum,I drank tea yesterday 
Xvrly dvb nyinbo ak ngo xarnam,I drive a convertible 
Ngoqg wtwngam ngo paqgeqnum,I dropped my sandwich 
Ngo Tomnvn iskulho wgnum,I drove Tom to school 
Ngo tingtv vxiam ngui dvdwn,I eat fish every week 
Ngo soongam alwb chess soodu dvn,I enjoy playing chess 
Ngo kitap poory dvb hempdvn,I enjoy reading books 
Ngo Tom nvkam nyirda daqdwb mvnum,I even made Tom laugh 
Ngo mwwnamv Tom mvya tayin,I expect Tom will win 
Ngo ham mwam rwmwq twqb bekinum,I explained it to him 
Ngoqg doonu aalam ngo nvvbw-naatanum,I extended my holiday 
Ngo mecaqg vc hengpa do,I feel a bit nauseous 
Ngo nitbo nyi ak hvb hengpa sudo,I feel like a new man 
Ngo kwlybo ak hvb hengpa sudo,I feel like an amoeba 
Ngo bupwb kvtaq dvb hengpa do,I feel perfectly fine 
Ngo vcjaqb hvnyw hengpanum,I feel so embarrassed 
Ngo meeg mwwdwq dvb hengpanum,I feel somewhat upset 
Ngo soolo al looda maab hengdo,I feel terrible today 
Ngo iss urab yoqlwqnum,I fell into the water 
Ngo anyog vs-axaqkam hengpanum,I felt a little stiff 
Ngo kokw so al mwwpa maanum,I felt bad afterwards 
Ngo kiir noodwb hengnum,I felt like screaming 
Ngo nyooby hwqnam hengpanum,I felt the earthquake 
Ngo haqpaqnam mam hingbw cwrwl hengpanum,I felt very neglected 
Ngo lamtangam wgmin gvnum,I followed the recipe 
Ngo nam swlw twwma bvk hvl mutur dvn,I forbid you to smoke 
Tomnvn ham nyim dvb ngo nwwteqnum,I forced Tom to do it 
Ngo wtw rvdkun mwwpa kuma,I forgot to buy bread 
Ngo bulam bepa dvb mwwpa kuma,I forgot to tell them 
Ngo hog ak kaapa paalinum,I found out something 
Ngo jvqtwngam kaapa paalin paku,I found out the truth 
Ngo kaanamv kitap si vs-axaqma,I found the book easy 
Ngo bakos sam asar dvb kaapanum,I found the box empty 
Ngo kaanamv gems soonam si vs-axaqma,I found the game easy 
Tomnvn hvvi aalam doonu mvdwb ngo jinum,I gave Tom Monday off 
Ngo mwnwn mitai meeg jinum,I gave her some candy 
Ngoqg koosam mwam ngo jinum,I gave him my address 
Ngoqg hvvyiqkam ngo mwam jinum,I gave my cold to him 
Koam ngo kitap taqg jinum,I gave the boy a book 
Lokam ngo vp cwkw mwwpa do,I get lonely at times 
Hoqham ngam nyim dvb hiqnum,I get paid to do that 
Ngoqg gooringam ngo piodaq twqnum,I glanced at my watch 
Ngo vnyw nywxiam tolo wdwn,I go there every year 
Ngo riyang mood diyo ngam yubtab wdkun,I go to bed about ten 
Ngo kin nyi moodam yubtab wdkun,I go to bed at eleven 
Ngo gaari hoqgv dvrwq-namlob wdwn,I go to church by car 
Ngo baas hoqgv iskul wdwn,I go to school by bus 
Ngo teksi hoqgv lvvgwb lengnum,I got out of the taxi 
Ngoqg vnyiqlo sabonv haanum,I got soap in my eyes 
Ngo nyebia jaqb ngaaganum,I got tired very fast 
Ngo ax mood diyoho gorabnum,I got up at about six 
Ngo vpinam iss mvyaqnum,I got wet to the skin 
Ngo mwwnamv ngo wk nyiloqkam al bade,I guess I'd better go 
Ngo mwwnamv Tom jvqtw jinum,I guess Tom was right 
Ngo mwwnum hoqhv soonam-nyirnamv,I guess it was a joke 
Ngo mwwnamv hoqhv jvqtw ma,I guess it's not true 
Ngo mwwnamv ikiv ceb de,I guess the dog bites 
Ngo Tomwg lvgab agam gooknum,I had a talk with Tom 
Ngo bulam toxnamv al yaatayi,I had better ask them 
Ngo Tomwg lvgab ariyum dvsam dvnum,I had dinner with Tom 
Ngo gooringam ngo dvco mvnum,I had my watch stolen 
Ngo asaq dooxub sv akkam dooma,I had no other choice 
Ngo hog akam yuupaq sv dooma,I had nothing to lose 
Ngo hoglo kam kvsko dooma,I had nowhere to hide 
Ngo namho doodwb nyido,I had to stay at home 
Ngo ham nyisv twqb kam nyika,I hardly ever do that 
Ngo kelass lvkin gob doonam mam oyum dvn,I hate class reunions 
Ngo hoqhvb nyibo yaapangam oyum dvn,I hate guys like that 
Ngo gon xwwnam kelass sam oyum dvn,I hated history class 
Ngo Japan gaari torg doogdvn,I have a Japanese car 
Ngo almanbo dumpo dumcnum,I have a bad headache 
Ngo noqg aoho coojabnum,I have a crush on you 
Noqgab lvqc ak ngo doogdvn,I have a gift for you 
Ngo aljaqb mwwgab nvnv doodwn,I have a great memory 
Ngo vbw-bor ak doodwn,I have a half brother 
Ngoqg imiqkv dvpar part dvn,I have a large family 
Ngo jooxurbo payap ak doogdvn,I have a leaky faucet 
Ngo meeg swkwr-ram do,I have a little fever 
Ngo twngk anyo go doodo,I have a little money 
Ngo kitapv naleqgo doogdvn,I have a lot of books 
Ngo twngkv naleqgo doogdvn,I have a lot of money 
Ngo anyo go swkwr-ram do,I have a slight fever 
Ngo iskul himy bisa doodo,I have a student visa 
Ngo gvqmw gaqnan bisa doodwn,I have a tourist visa 
Ngo bwpiamnam vbw-bor doodwn,I have a twin brother 
Ngo swwda tebol ak doodwn,I have a wooden table 
Ngo rwmwq twqb goosv doodwn,I have an explanation 
Ngo kolwg baisaikel torg doodwn,I have an old bicycle 
Ngo bwrm akta doodwn,I have another sister 
Ngo kam meeg nyila-wla nan pvvbv doodwn,I have certain rights 
Ngo aaram mam kelass doodwn,I have class tomorrow 
Ngo soondvb ceego-nargongv doodwn,I have gambling debts 
Ngo nyubu gab mwwdwn,I have grave concerns 
